SERVICE_MINILINK,time,speed
1220023300_001,0,26.116941550925922
1220023300_001,1,24.237991898148145
1220023300_001,2,25.176142939814817
1220023300_001,3,24.535807291666664
1220023300_001,4,22.328703703703702
1220023300_001,5,27.29043692129629
1220023300_001,6,33.005193865740736
1220023300_002,0,26.709852430555557
1220023300_002,1,25.11892361111111
1220023300_002,2,25.906973379629626
1220023300_002,3,24.928530092592595
1220023300_002,4,23.92238136574074
1220023300_002,5,27.14185474537037
1220023300_002,6,33.9908275462963
1220023300_003,0,28.43687789351852
1220023300_003,1,26.372323495370374
1220023300_003,2,26.621310763888893
1220023300_003,3,25.304904513888886
1220023300_003,4,24.251085069444443
1220023300_003,5,27.46209490740741
1220023300_003,6,35.696932870370375
1220023300_004,0,28.657884837962968
1220023300_004,1,26.080005787037038
1220023300_004,2,27.131004050925924
1220023300_004,3,26.240523726851855
1220023300_004,4,25.157335069444443
1220023300_004,5,27.916883680555557
1220023300_004,6,37.2486255787037
1220023300_005,0,28.95315393518519
1220023300_005,1,26.533130787037038
1220023300_005,2,26.960865162037035
1220023300_005,3,26.52459490740741
1220023300_005,4,24.145326967592595
1220023300_005,5,28.190031828703706
1220023300_005,6,37.4349537037037
1220023300_006,0,28.714192708333332
1220023300_006,1,25.802228009259256
1220023300_006,2,26.95146122685185
1220023300_006,3,25.6490162037037
1220023300_006,4,24.552589699074076
1220023300_006,5,27.191984953703706
1220023300_006,6,37.09780092592593
1220023300_007,0,27.989076967592595
1220023300_007,1,25.155237268518523
1220023300_007,2,26.289062499999996
1220023300_007,3,25.21846064814815
1220023300_007,4,23.96773726851852
1220023300_007,5,26.20920138888889
1220023300_007,6,36.43457754629629
1220023300_008,0,26.405570023148144
1220023300_008,1,25.688151041666668
1220023300_008,2,25.197771990740744
1220023300_008,3,24.13013599537037
1220023300_008,4,23.699797453703706
1220023300_008,5,25.98531539351852
1220023300_008,6,34.4511284722222
1220023300_009,0,24.182002314814813
1220023300_009,1,24.69184027777778
1220023300_009,2,24.967664930555554
1220023300_009,3,22.747323495370367
1220023300_009,4,22.387803819444446
1220023300_009,5,24.72554976851852
1220023300_009,6,33.23948206018518
1220023300_010,0,26.316883680555556
1220023300_010,1,22.891420717592595
1220023300_010,2,23.421440972222218
1220023300_010,3,22.400535300925924
1220023300_010,4,21.144314236111107
1220023300_010,5,24.287832754629633
1220023300_010,6,33.38962673611112
1220023300_011,0,23.294690393518522
1220023300_011,1,22.54072627314814
1220023300_011,2,22.478515625
1220023300_011,3,22.575376157407405
1220023300_011,4,21.141999421296294
1220023300_011,5,23.967737268518523
1220023300_011,6,32.08153935185185
1220023300_012,0,23.75034722222222
1220023300_012,1,22.78631365740741
1220023300_012,2,22.03971354166667
1220023300_012,3,21.489728009259256
1220023300_012,4,21.51736111111111
1220023300_012,5,23.26345486111111
1220023300_012,6,31.388816550925924
1220023300_013,0,22.872670717592595
1220023300_013,1,22.124421296296294
1220023300_013,2,22.413556134259267
1220023300_013,3,22.419415509259256
1220023300_013,4,21.438368055555554
1220023300_013,5,23.594835069444443
1220023300_013,6,31.65870949074074
1220023300_014,0,24.880150462962966
1220023300_014,1,21.973451967592595
1220023300_014,2,22.077907986111114
1220023300_014,3,21.336588541666668
1220023300_014,4,20.714916087962962
1220023300_014,5,22.920500578703706
1220023300_014,6,32.868648726851845
1220023300_015,0,22.76950231481481
1220023300_015,1,20.742983217592595
1220023300_015,2,21.581814236111114
1220023300_015,3,21.609157986111114
1220023300_015,4,19.857277199074076
1220023300_015,5,22.220847800925924
1220023300_015,6,32.17071759259258
1220023300_016,0,22.229210069444445
1220023300_016,1,20.678096064814813
1220023300_016,2,21.04318576388889
1220023300_016,3,20.314091435185187
1220023300_016,4,19.937138310185187
1220023300_016,5,22.27567997685185
1220023300_016,6,32.40532407407407
1220023300_017,0,23.663440393518517
1220023300_017,1,20.85988136574074
1220023300_017,2,20.259765625
1220023300_017,3,21.212745949074076
1220023300_017,4,19.057219328703702
1220023300_017,5,20.981047453703702
1220023300_017,6,31.235865162037033
1220023300_018,0,21.65843460648148
1220023300_018,1,20.072989004629633
1220023300_018,2,20.187355324074076
1220023300_018,3,19.801576967592585
1220023300_018,4,19.1009837962963
1220023300_018,5,20.798755787037035
1220023300_018,6,29.80701678240741
1220023300_019,0,21.323104745370365
1220023300_019,1,19.20023148148148
1220023300_019,2,19.62384259259259
1220023300_019,3,19.788266782407405
1220023300_019,4,18.45355902777777
1220023300_019,5,19.919053819444443
1220023300_019,6,29.197873263888884
1220023300_020,0,19.47879050925926
1220023300_020,1,18.595703125000004
1220023300_020,2,18.444299768518523
1220023300_020,3,18.022063078703706
1220023300_020,4,17.263165509259256
1220023300_020,5,18.65277777777778
1220023300_020,6,28.1279224537037
1220023300_021,0,18.962080439814812
1220023300_021,1,16.957971643518515
1220023300_021,2,16.62008101851852
1220023300_021,3,16.225188078703706
1220023300_021,4,16.737485532407405
1220023300_021,5,17.38375289351852
1220023300_021,6,26.357233796296295
1220023300_022,0,16.953862847222222
1220023300_022,1,15.86378761574074
1220023300_022,2,15.5234375
1220023300_022,3,15.535445601851851
1220023300_022,4,14.779224537037042
1220023300_022,5,15.828848379629628
1220023300_022,6,23.71158854166666
1220023300_023,0,15.565972222222221
1220023300_023,1,13.257089120370372
1220023300_023,2,13.640335648148149
1220023300_023,3,13.180049189814817
1220023300_023,4,14.141637731481477
1220023300_023,5,14.060474537037036
1220023300_023,6,21.41208043981482
1220023300_024,0,14.47238136574074
1220023300_024,1,13.24703414351852
1220023300_024,2,12.709346064814817
1220023300_024,3,12.958839699074076
1220023300_024,4,12.07884837962963
1220023300_024,5,12.787181712962962
1220023300_024,6,19.121267361111112
1220023300_025,0,13.169661458333334
1220023300_025,1,11.046296296296298
1220023300_025,2,10.910734953703706
1220023300_025,3,10.664207175925926
1220023300_025,4,10.771412037037038
1220023300_025,5,11.350983796296296
1220023300_025,6,17.603559027777774
1220023300_026,0,11.517997685185183
1220023300_026,1,9.592664930555554
1220023300_026,2,9.413122106481481
1220023300_026,3,9.326316550925926
1220023300_026,4,8.996672453703704
1220023300_026,5,9.226996527777779
1220023300_026,6,15.311588541666664
1220023300_027,0,9.463136574074074
1220023300_027,1,7.489872685185186
1220023300_027,2,8.07957175925926
1220023300_027,3,7.345847800925926
1220023300_027,4,7.050419560185186
1220023300_027,5,7.9640480324074066
1220023300_027,6,11.831582754629627
1220023300_028,0,8.206510416666665
1220023300_028,1,5.6697771990740735
1220023300_028,2,6.046802662037038
1220023300_028,3,5.7778501157407405
1220023300_028,4,5.45580150462963
1220023300_028,5,6.310329861111111
1220023300_028,6,9.306380208333334
1220023300_029,0,6.315248842592592
1220023300_029,1,4.74486400462963
1220023300_029,2,4.808015046296297
1220023300_029,3,4.533203125
1220023300_029,4,4.602936921296297
1220023300_029,5,4.907190393518519
1220023300_029,6,6.613078703703704
1220023300_030,0,6.335445601851853
1220023300_030,1,4.356770833333333
1220023300_030,2,4.19603587962963
1220023300_030,3,4.171585648148148
1220023300_030,4,4.553530092592592
1220023300_030,5,4.387369791666667
1220023300_030,6,6.020659722222222
1220023300_031,0,7.1215567129629616
1220023300_031,1,5.9659288194444455
1220023300_031,2,6.32544849537037
1220023300_031,3,6.271267361111111
1220023300_031,4,5.63990162037037
1220023300_031,5,5.470558449074074
1220023300_031,6,6.753790509259258
1220023300_032,0,12.228544560185183
1220023300_032,1,12.565176504629628
1220023300_032,2,12.79441550925926
1220023300_032,3,12.914713541666666
1220023300_032,4,12.793836805555557
1220023300_032,5,11.795500578703702
1220023300_032,6,12.83761574074074
1220023300_033,0,15.747902199074067
