SERVICE_MINILINK,hour,speed
1220023300_001,0,35.13738425925926
1220023300_001,1,36.729745370370374
1220023300_001,2,36.708449074074075
1220023300_001,3,39.31736111111112
1220023300_001,4,40.041666666666664
1220023300_001,5,35.53188657407407
1220023300_001,6,41.67743055555555
1220023300_001,7,31.9146412037037
1220023300_001,8,27.577719907407406
1220023300_001,9,26.10625
1220023300_001,10,21.282175925925927
1220023300_001,11,18.970833333333335
1220023300_001,12,23.590625
1220023300_001,13,17.366550925925928
1220023300_001,14,14.924305555555556
1220023300_001,15,12.758680555555555
1220023300_001,16,10.804166666666667
1220023300_001,17,13.324826388888889
1220023300_001,18,15.485763888888888
1220023300_001,19,19.143055555555556
1220023300_001,20,27.936342592592588
1220023300_001,21,24.761689814814815
1220023300_001,22,26.768055555555556
1220023300_001,23,34.050000000000004
1220023300_002,0,35.328472222222224
1220023300_002,1,35.638194444444444
1220023300_002,2,37.52569444444445
1220023300_002,3,43.10364583333333
1220023300_002,4,39.561979166666674
1220023300_002,5,37.44056712962963
1220023300_002,6,44.662442129629625
1220023300_002,7,31.223090277777782
1220023300_002,8,28.592708333333334
1220023300_002,9,28.1125
1220023300_002,10,21.129166666666666
1220023300_002,11,20.034027777777776
1220023300_002,12,24.09809027777778
1220023300_002,13,17.853472222222223
1220023300_002,14,14.564930555555556
1220023300_002,15,12.740625
1220023300_002,16,11.421875
1220023300_002,17,13.738888888888889
1220023300_002,18,15.395138888888889
1220023300_002,19,20.06892361111111
1220023300_002,20,28.575347222222224
1220023300_002,21,27.022569444444443
1220023300_002,22,27.5625
1220023300_002,23,33.867592592592594
1220023300_003,0,36.00960648148148
1220023300_003,1,37.95405092592592
1220023300_003,2,39.27800925925926
1220023300_003,3,42.94398148148149
1220023300_003,4,45.31435185185185
1220023300_003,5,41.01180555555556
1220023300_003,6,43.03038194444446
1220023300_003,7,31.85682870370371
1220023300_003,8,31.509664351851857
1220023300_003,9,28.22951388888889
1220023300_003,10,21.922395833333333
1220023300_003,11,20.148263888888888
1220023300_003,12,27.092129629629632
1220023300_003,13,18.257638888888888
1220023300_003,14,14.75625
1220023300_003,15,11.856944444444444
1220023300_003,16,11.663194444444445
1220023300_003,17,13.903125
1220023300_003,18,15.307986111111111
1220023300_003,19,20.516840277777778
1220023300_003,20,29.787847222222222
1220023300_003,21,27.87465277777778
1220023300_003,22,28.08732638888889
